,geoid,state,county,tract,latitude,longitude,msrDeviceNbr
111,17031700502,17,031,700502,41.735659,-87.682248,2143
112,17031823302,17,031,823302,41.670992,-87.732457,2144
113,53033022606,53,033,022606,47.67034,-122.14594,2148
114,53033022606,53,033,022606,47.67034,-122.14594,2149
115,17031251900,17,031,251900,41.8803,-87.7647,2150
116,17031320400,17,031,320400,41.8766,-87.6105,2154
117,17031320400,17,031,320400,41.8766,-87.6105,2155
118,17031320400,17,031,320400,41.8766,-87.6105,2156
119,17031841300,17,031,841300,41.8454,-87.6854,2162
120,17031681400,17,031,681400,41.759507,-87.644385,2165
121,17031480400,17,031,480400,41.7333,-87.5851,2169
122,17031841000,17,031,841000,41.847228,-87.617824,2170
123,53033022606,53,033,022606,47.66087,-122.14367,2171
124,17031301801,17,031,301801,41.84419,-87.7347,2172
125,17031691100,17,031,691100,41.75841,-87.63108,2173
126,17031301802,17,031,301802,41.844104,-87.729633,2174
127,17031431400,17,031,431400,41.7577,-87.554,2175
128,17031520600,17,031,520600,41.688054,-87.539967,2176
129,17031691100,17,031,691100,41.75841,-87.63108,2177
130,17031440300,17,031,440300,41.7435,-87.6242,2178
131,17031630300,17,031,630300,41.7968,-87.7038,2179
132,17031842500,17,031,842500,41.78,-87.6168,2182
133,17031062700,17,031,062700,41.939311,-87.668496,2183
134,17031838100,17,031,838100,41.881471,-87.672189,2184
135,17031251700,17,031,251700,41.8879,-87.7455,2185
136,53033022606,53,033,022606,47.66087,-122.14367,2186
137,17031843700,17,031,843700,41.939568,-87.688703,2191
138,17031837100,17,031,837100,41.8838,-87.706,2193
139,17031710200,17,031,710200,41.7523450317083,-87.6537197242965,2199
140,17031440300,17,031,440300,41.7435,-87.6242,2207
141,53033022606,53,033,022606,47.66087,-122.14367,2208
142,53033022606,53,033,022606,47.66087,-122.14367,2209
143,17031230400,17,031,230400,41.912739,-87.722673,2212
